PERMNO,#RIC
66384.0,WDC.O
66739.0,SFY
66800.0,AIG
67193.0,RBN
67467.0,BIG
67847.0,RGLD.O
68144.0,STI
68196.0,SEIC.O
68292.0,SIGI.O
68591.0,STJ
68830.0,REX
68857.0,CVC
69032.0,MS
69199.0,SHLM.O
69550.0,MYL.O
69649.0,RJF
69796.0,STZ
70033.0,HOG
70092.0,KBH
70228.0,TOL
70308.0,ARG
70332.0,APC
70500.0,CCE
70519.0,C
70536.0,SIAL.O
70578.0,ECL
70616.0,SYMM.O
70923.0,SFD
71175.0,UNM
71176.0,SON
71271.0,Y
71475.0,AWR
71563.0,BBT
71985.0,SPAR.O
72486.0,SMSC.O
72494.0,SR
72696.0,SPF
72696.0,CAA
72726.0,STT
72980.0,STC
72996.0,SF
73139.0,SYK
73219.0,RGR
73681.0,SUPX.O
73809.0,SUSQ.O
75033.0,VOXX.O
75034.0,BHI
75070.0,INT
75100.0,TIF
75101.0,TBL
75104.0,CBSa
75107.0,ABMD.O
75182.0,PII
75186.0,SCHW.K
75215.0,CSH
75224.0,HAR
75241.0,PXD
75257.0,TLAB.O
75285.0,MAN
75316.0,BID
75326.0,ACI
75342.0,MTH
75383.0,BEC
75432.0,CEC
75460.0,TNC
75489.0,SPLS.O
75510.0,ADBE.O
75517.0,MRTN.O
75526.0,AFAM.O
75527.0,ZQK
75573.0,ODP
75573.0,ODP.O
75577.0,ALTR.O
75591.0,IEX
75603.0,CRUS.O
75607.0,SYMC.O
75646.0,AGN
75649.0,TG
75654.0,CGNX.O
75694.0,TECH.O
75825.0,EOG
75828.0,ERTS.O
75828.0,EA.O
75831.0,DGII.O
75905.0,GIII.O
75912.0,PMTC.O
75912.0,PTC.O
75976.0,NEOG.O
76076.0,CSCO.O
76081.0,THO
76082.0,COG
76091.0,SUG
76095.0,HOLX.O
76099.0,DFG
76100.0,THOR.O
76127.0,TTI
76128.0,VICR.O
76135.0,GVA
76136.0,UTR
76136.0,KMPR.K
76138.0,BEAV.O
76139.0,ORB
76148.0,RTI
76149.0,SWY
76185.0,TYL
76195.0,KSWS.O
76201.0,XLNX.O
76207.0,ACAT.O
76215.0,ICON.O
76219.0,TRH
76223.0,CHUX.O
76224.0,BHE
76226.0,CBS
76230.0,TRMB.O
76234.0,MOLXA.O
76261.0,EXPO.O
76279.0,MTRX.O
76282.0,AN
76372.0,ISYS.O
76391.0,MRX
76392.0,MMSI.O
76477.0,ATK
76477.0,OA
76478.0,ESE
76489.0,LUFK.O
76504.0,CATY.O
76565.0,HMA
76568.0,SONC.O
76573.0,MLI
76582.0,DORM.O
76584.0,ATML.O
76605.0,AZO
76613.0,IO
76614.0,REGN.O
76619.0,CVH
76625.0,CEPH.O
76639.0,TSS
76644.0,X
76671.0,ANN
76684.0,HBHC.O
76695.0,PNRA.O
76697.0,HNT
76708.0,DV
76709.0,IDXX.O
76711.0,RGS
76712.0,AES
76732.0,DIN
76744.0,VRTX.O
76750.0,MNRO.O
76752.0,PRGS.O
76788.0,HWAY.O
76795.0,ZBRA.O
76798.0,EZPW.O
76837.0,HAE
76838.0,PRA
76841.0,BIIB.O
76856.0,FCFS.O
76868.0,AAON.O
76999.0,THQI.O
77037.0,ODFL.O
77043.0,SWS
77053.0,WTNY.O
77090.0,ATNI.O
77114.0,WRLD.O
77120.0,HMN
77157.0,OI
77178.0,QCOM.O
77182.0,PRGO.O
77182.0,PRGO.K
77191.0,TTEK.O
77274.0,GILD.O
77279.0,ABAX.O
77281.0,WFMI.O
77281.0,WFM.O
77300.0,SMG
77338.0,ROP
77354.0,SCHL.O
77357.0,SNPS.O
77366.0,ELY
77415.0,NBTB.O
77418.0,TWX
77420.0,FRED.O
77421.0,LNCR.O
77447.0,ICUI.O
77453.0,JACK.O
77461.0,VCI
77462.0,M
77478.0,CBK
77481.0,EP
77496.0,MHK
77501.0,NCS
77515.0,KOPN.O
77516.0,MW
77519.0,TRST.O
77520.0,AGCO.K
77528.0,STBA.O
77530.0,SMRT.O
77584.0,BKE
77595.0,ABFS.O
77595.0,ARCB.O
77605.0,BSX
77606.0,KSS
77629.0,USPH.K
77643.0,FCF
77649.0,STE
77659.0,BBBY.O
77661.0,DHI
77668.0,ESRX.O
77669.0,FINL.O
77679.0,COLB.O
77702.0,SBUX.O
77730.0,TSN
77763.0,SPN
77768.0,PX
77780.0,CENT.O
77785.0,WIRE.O
77787.0,ZOLL.O
77830.0,HITK.O
77902.0,CAKE.O
77917.0,ASGN.O
77917.0,ASGN.K
77918.0,LFUS.O
77971.0,EFII.O
77976.0,MFE
78009.0,SBIB.O
78015.0,MTX
78033.0,HCC
78034.0,PDCO.O
78044.0,UFI
78051.0,QCOR.O
78081.0,LGND.O
78137.0,CKH
78139.0,CPWR.O
78156.0,HMSY.O
78170.0,SM
78172.0,BBOX.O
78186.0,PQ
78193.0,PMTI.O
78200.0,SHFL.O
78211.0,UVE
78664.0,DDD
78693.0,UFCS.O
78829.0,UMBF.O
78875.0,CREE.O
78876.0,CRY
78877.0,CHK
78881.0,CYBX.O
78915.0,UEIC.O
78916.0,WPI
78916.0,ACT
